"network","status","matched_channel"
"A&E","missing",""
"ABC","missing",""
"AccuWeather Network","exact","Accuweather"
"Adult Swim","missing",""
"Al Jazeera America","missing",""
"Amazon Prime Video","missing",""
"AMC","missing",""
"American Crimes","exact","American Crimes"
"American Heroes Channel","missing",""
"AMTV","missing",""
"Animal Planet","missing",""
"Antenna TV","missing",""
"AXS TV","missing",""
"Azteca América","missing",""
"Baby First TV","missing",""
"BBC America","exact","BBC America"
"BeIN Sports","missing",""
"BeIN Sports Español","missing",""
"BET","missing",""
"BET Her","missing",""
"Big Ten Network","missing",""
"Black News Channel","exact","Black News Channel (1080p)"
"Boomerang","missing",""
"Bounce TV","missing",""
"Bravo","missing",""
"Cartoon Network","missing",""
"Catchy Comedy","missing",""
"CBS","exact","CBS"
"Charge!","exact","Charge! (1080p)"
"Chiller","missing",""
"Cinelatino","missing",""
"Cinemax","missing",""
"Cleo TV","missing",""
"Cloo","missing",""
"CMT","missing",""
"CNBC","exact","CNBC Ⓨ"
"CNN","missing",""
"CNN Español","missing",""
"Comedy Central","missing",""
"Comedy.TV","missing",""
"Comet","exact","Comet (1080p)"
"Cooking Channel","missing",""
"Court TV","exact","Court TV"
"Cowboy Channel, The","missing",""
"Cozi TV","missing",""
"CW, The","missing",""
"Dabl","missing",""
"Defy TV","missing",""
"Destination America","missing",""
"Discovery Channel","missing",""
"Discovery Español","missing",""
"Discovery Familia","missing",""
"Discovery Family","missing",""
"Discovery Life","missing",""
"Discovery Turbo","exact","Discovery Turbo TV"
"Disney Channel","missing",""
"Disney Junior","missing",""
"Disney XD","missing",""
"DuMont Television Network","missing",""
"E!: Entertainment Television","missing",""
"El Rey Network","missing",""
"ESPN","missing",""
"ESPN Deportes","missing",""
"ESPN2","missing",""
"ESPNU","missing",""
"Esquire Network","missing",""
"Estrella TV","exact","Estrella TV (1080p)"
"Family Entertainment Television","missing",""
"Food Network","missing",""
"FOX","missing",""
"Fox Business Network","missing",""
"Fox Deportes","missing",""
"Fox Life","missing",""
"Fox News Channel","missing",""
"Fox Sports 1","missing",""
"Fox Sports 2","missing",""
"Freeform","missing",""
"Fuse","missing",""
"FX","missing",""
"FX Movie Channel","missing",""
"FXX","missing",""
"FYI","missing",""
"G4","missing",""
"GalaNovelas","missing",""
"Galavisión","missing",""
"Game Show Network","missing",""
"Get","missing",""
"Golf Channel","missing",""
"Great American Family","missing",""
"Grit","missing",""
"H2","missing",""
"Hallmark Channel","missing",""
"Hallmark Family","missing",""
"Hallmark Mystery","missing",""
"HBO","missing",""
"Heroes & Icons","missing",""
"HGTV","missing",""
"History","missing",""
"HLN","missing",""
"Hogar de HGTV","missing",""
"IFC","missing",""
"INSP","missing",""
"Investigation Discovery","missing",""
"Ion Mystery","exact","ION Mystery"
"Ion Plus","exact","ION Plus"
"Ion Television","missing",""
"Justice Central","missing",""
"Laff","missing",""
"Lifetime","missing",""
"LMN","missing",""
"Logo TV","missing",""
"Magnolia Network","missing",""
"Merit Street","missing",""
"MeTV","missing",""
"MeTV Toons","missing",""
"MLB Network","missing",""
"MS NOW","missing",""
"MTV","missing",""
"MTV Classic","missing",""
"MTV2","missing",""
"Nat Geo Mundo","missing",""
"National Geographic","missing",""
"National Geographic Wild","missing",""
"NBA TV","exact","The NBA Channel"
"NBC","missing",""
"NBCSN","missing",""
"Newsmax TV","exact","Newsmax TV"
"NewsNation","missing",""
"NFL Network","exact","NFL Channel"
"Nick at Nite","missing",""
"Nick Jr.","missing",""
"Nickelodeon","missing",""
"Nicktoons","missing",""
"Olympic Channel","missing",""
"Oprah Winfrey Network","missing",""
"Outdoor Channel","exact","Outdoor Channel (AU)"
"Ovation","missing",""
"Oxygen","missing",""
"Paramount Network","missing",""
"Paris Extra 1","missing",""
"Paris Extra 2","missing",""
"PBS","missing",""
"Pop","missing",""
"Pursuit Channel","missing",""
"Reelz","missing",""
"RFD-TV","missing",""
"Roar","exact","Roar (1080p)"
"Science Channel","missing",""
"Scripps News","exact","Scripps News"
"Showtime","missing",""
"Smithsonian Channel","missing",""
"Sportsman Channel","missing",""
"Start TV","missing",""
"Starz","missing",""
"Starz Encore","missing",""
"Story Television","missing",""
"Sundance TV","missing",""
"Syfy","missing",""
"Syndication","missing",""
"TBS","missing",""
"TeenNick","missing",""
"Telemundo","missing",""
"TeleXitos","missing",""
"Tennis Channel","exact","Tennis Channel (DE)"
"TheGrio","missing",""
"TLC","missing",""
"TNT","missing",""
"Travel Channel","missing",""
"TrueReal","missing",""
"TruTV","missing",""
"TUDN","missing",""
"TV Land","missing",""
"TV Land Classic","missing",""
"TV One","missing",""
"UniMás","missing",""
"Universal Kids","missing",""
"Universo","missing",""
"Univision","missing",""
"Up TV","missing",""
"USA Network","missing",""
"VH1","missing",""
"Vice TV","missing",""
"WAPA America","missing",""
"We TV","missing",""
"Weather Channel, The","exact","The Weather Network (CA)"
